text,line,length,shot
"another big inswinger. Into the pads from back of a length, he defends solidly towards midwicket",Unknown,Short,Defend
"overpitched outswinger, very wide outside off. Left alone",Outside Off,Unknown,Leave
"short of a length on off stump, defended off the back foot",Off Stump,Short,Defend
<b>past the outside edge.</b> Short of a length and angled across the corridor. Hangs his bat outside and is beaten,Unknown,Short,Unknown
"short and slanted wide outside off, hangs the bat inside the line and lets it pass",Outside Off,Short,Unknown
"<b>swipes</b> and misses. Loose attempt at a cut. Short ball outside off keeps a touch low, but it was a nervous shot",Outside Off,Short,Cut
"length ball outside off, gets forward to cover off stump and leaves",Outside Off,Unknown,Leave
"fuller than a good length and simply floats through outside off, Dhawan doesn't bite yet. Left alone",Outside Off,Good Length,Leave
"<strong>Stokes draws the outside edge</strong> but it does not carry to third slip. Good length and slanting away outside off against the angle, Dhawan employs soft hands and prods it to the left of third slip",Outside Off,Good Length,Unknown
back of a length on a set of stumps outside off - or even wider - Dhawan shelves the big drive and lets it go again,Outside Off,Short,Drive
"short, wide, outside off, begging on its knees to be clattered away. Dhawan obliges, rocks back and cuts it to the right of a diving short cover",Outside Off,Short,Cut
"pitched further up and outside off, Dhawan presses forward and drives through the line to mid-off",Outside Off,Unknown,Drive
"back of a length and shoved down leg, Dhawan aims a pull and collects only fresh air",Down Leg,Short,Pull
"<strong>delicious drive from Rahul</strong>. Pitched up and swinging away outside off, Rahul leans into it, shows off his high elbow, and creams a drive through the covers",Outside Off,Full,Drive
"full and angling in at off, shapes away slightly, Rahul pokes and edges it past the cordon for four",Unknown,Full,Unknown
"back of a length on a fifth-stump line outside off, Rahul shoulders arms",Outside Off,Short,Unknown
"wide of the crease, full and angling into the pads, inside-edged to square leg",Unknown,Full,Unknown
"back of a length on middle and leg, tucks up Dhawan for room. He sits back and jabs the ball away to the leg side",Middle Stump,Short,Unknown
"Dhawan jumps back, gets on top of a short ball outside off and punches on the up to the covers",Outside Off,Short,Unknown
"short and climbs further outside off, no shot from Rahul",Outside Off,Short,Unknown
"back of a length and pushed wider outside off, Rahul does not go after it again",Outside Off,Short,Unknown
"short and angling in at off stump, Rahul has ample time to skip on the back foot and dab it to the off side",Off Stump,Short,Unknown
"Stokes dangles the bait outside off, again, Rahul bites this time and gets away. Throws his hands at a short ball outside off and flashes it over the cordon for a streaky four",Outside Off,Short,Unknown
"<strong>oooooh, how did that miss off stump</strong>? Stokes ventures wide of the crease, and gets it to swing back in viciously and threaten off. Rahul's feet are static as he hangs his bat inside the line and is beaten. It wasn't too far away from the off stump either",Off Stump,Unknown,Unknown
"short and angling away wide outside off, ignored",Outside Off,Short,Unknown
"floated fuller and wider outside off, left alone again",Outside Off,Unknown,Leave
"back of a length and angling away just a shade outside off, well left alone again",Outside Off,Short,Leave
"<strong>edged and taken at second slip</strong>. Woakes finds the outside edge and the breakthrough for England. Good length and slanting away outside off with the angle from over the wicket, Dhawan is squared up as he jabs with hard hands and snicks it behind to Buttler",Outside Off,Good Length,Unknown
"back of a length on a fourth-stump line, Pujara cautiously rides the bounce and dabs with soft hands to the cordon",Unknown,Short,Unknown
"full and outside off, pushed through the covers",Outside Off,Full,Unknown
"good length and outside off, Pujara leaves it be",Outside Off,Good Length,Leave
"short and zips away outside off, Pujara presses forward, protects his off stump, and lets it go again",Outside Off,Short,Unknown
"full and angling into the pads, neatly picked off fine of long leg for four",Unknown,Full,Unknown
"dug in short on off, 133ks, although it looked quicker than that, Pujara stabs it away",Off Stump,Short,Unknown
"<strong>big inswinginer from Stokes</strong>, from wide of the crease, pretty full, Pujara stabs it out again, this time to the leg side",Down Leg,Full,Unknown
Bairstow neatly takes this in front of his head. Bursts from a back of a length outside off and thuds into the gloves of the keeper as Pujara lets it go,Outside Off,Short,Unknown
"good length, angling in, then seaming away, Rahul plays late, plays with soft hands, ensuring it does not carry to second or third slip. Nicely done",Unknown,Good Length,Unknown
"good length and holds its line outside off, left alone in the channel",Outside Off,Good Length,Leave
"good length, angling in towards off, then zipping away late, beaten",Unknown,Good Length,Unknown
"back of a length and holds its line outside off, left alone",Outside Off,Short,Leave
"full and wobbles through outside off, left alone",Outside Off,Full,Leave
"<strong>Woakes pins Rahul in the crease with an inswinger</strong>. He has been given out leg before by umpire Erasmus. Rahul tucks his bat in and walks off. Pujara then chats with him, and Rahul eventually calls for a review. Is this heading down leg? Length ball, big inswinger from Woakes, catches Rahul in the crease, he plays around it and is rapped on the back pad. Ball-tracking suggests it would crash into leg stump. Woakes takes out both the Indian openers after a solid start. After testing Rahul with five balls that moved away or held its line outside off, Woakes brings this one back in and nabs Rahul. Top bowling from Woakes. India lose Rahul and a review",Outside Off,Unknown,Unknown
"rising short ball outside off, fended off",Outside Off,Short,Unknown
"back of a length and outside off, ignored",Outside Off,Short,Unknown
"very full and straight, forward and flicked out to midwicket",Unknown,Full,Flick
"back of a length and drifting down the leg side, past the reach of Pujara, past the reach of the diving keeper as well. Bairstow got his left glove to the ball, but it still dribbled away to the fence",Down Leg,Short,Unknown
"short and bounces outside off, no shot",Outside Off,Short,Unknown
"overpitched and outside off, Pujara opens the face and shovel-drives it in the gap at cover-point",Outside Off,Unknown,Drive
"good length and outside off, ignored",Outside Off,Good Length,Unknown
"full and outside off, wobbles away, ignored",Outside Off,Full,Unknown
"a bit too full and outside off, Pujara presses forward and smoothly drives the ball through the covers. Not much of a follow-through but the timing is exquisite, as is the placement. Stroked to the left of short cover",Outside Off,Full,Drive
"Woakes shortens his length outside off, forces Pujara back, rides it out to the cordon",Outside Off,Unknown,Unknown
"back of a length and holds its line outside off, left alone",Outside Off,Short,Leave
"back of a length, angling in, and nipping away outside off, left alone again",Outside Off,Short,Leave
"<strong>Kohli reaches out for his first ball and is beaten outside off.</strong> Fuller than a good length, angling in, then swinging away. Draws Kohli forward and teases his outside edge",Outside Off,Good Length,Unknown
"full inswinger, forward and inside-edged to short midwicket",Unknown,Full,Unknown
"back of a length and slanting in on middle, worked away to the leg side off the back foot",Middle Stump,Short,Unknown
"back of a length and outside off, Pujara leans back, rides the bounce, and steers the ball through the covers. Pujara's control % of 100 remains intact after 21 balls",Outside Off,Short,Unknown
back of a length and angling into a back-foot punch towards short cover,Unknown,Short,Unknown
"<strong>huuuuuge inswinger from Broad</strong>! Bring out the oh-my-Broad expression. Well, not quite. Good length, angling in, snaking in visiously, beats Pujara's inside edge and bounces over leg stump",Leg Stump,Good Length,Unknown
"good length and swings away against the angle, Kohli tightens and lets it pass",Unknown,Good Length,Unknown
"full and straight, Kohli happily flicks it through the gap at midwicket",Unknown,Full,Flick
"back of a length and holds its line outside off, left alone by Pujara",Outside Off,Short,Leave
"full and outside off, left alone again",Outside Off,Full,Leave
"full, angling in towards off, then swinging away, Pujara reads it well and shoulders arms",Unknown,Full,Unknown
"rolls through to the diving keeper. Full, angling in, and shaping away, left alone",Unknown,Full,Leave
"back of a length on a fourth-stump line outside off, no shot",Outside Off,Short,Unknown
"back of a length and skidding in, Broad has Kohli falling over the flick now and pings the thigh",Unknown,Short,Flick
"back of a length and bounces through the channel, Kohli has nothing to do with it",Unknown,Short,Unknown
Kohli gets his front foot across the line and works this inswinger to short midwicket,Unknown,Short,Unknown
full and wide outside off - wider than a set of stumps outside off - Kohli still chases it for nothing. Carved away to point. <strong>What a risky shot for no runs</strong>,Outside Off,Full,Unknown
"wide of the crease, angling into a back-foot defence to short midwicket",Unknown,Short,Unknown
"full and just a shade outside off, Pujara judges it well and lets it go",Outside Off,Full,Unknown
"good length on middle, Pujara carefully blocks to the leg side",Middle Stump,Good Length,Defend
"Oh, Pujara holes out at the stroke of lunch. Chest-high short ball on middle, Pujara takes it on with an <b>uncharacteristic hook</b>, as opposed to swaying away or ducking under it, he can't keep it down and hits it straight down the throat of Rashid at long leg. He had swivelled on the back foot and hit the ball a bit too early",Middle Stump,Short,Hook
short of a length and angled in at off. Cuts away too but Rahane solidly behind it to defend,Unknown,Short,Cut
"full outswinger just outside off, left alone",Outside Off,Full,Leave
"length ball at off stump, blocked solidly on the front foot",Off Stump,Unknown,Defend
"length on off stump, defended down the pitch off the front foot",Off Stump,Unknown,Defend
"in control. Short of a length ball outside off, shuffles to get behind it and opens the face to run it past third slip with soft hands",Outside Off,Short,Unknown
<b>beaten.</b> Seam-up and landing in the corridor. Jags away as he looks to defend on the back foot,Unknown,Unknown,Defend
"short of a length on off stump, defended off the back foot",Off Stump,Short,Defend
<b>cops it on the body</b> as this one climbs up from a length. He was looking to press forward outside off,Outside Off,Unknown,Unknown
short of a length and banged in at off stump. Shapes away a touch. Run into the slips with soft hands,Off Stump,Short,Unknown
"length outside off, blocked with a big front foot stride",Outside Off,Unknown,Defend
"full and swung away outside off, left alone",Outside Off,Full,Leave
nicely timed. Short of a length ball on the pads and he waits late before nudging this through square leg,Unknown,Short,Unknown
"short of a length outside off, pushed into the off side off the back foot",Outside Off,Short,Unknown
length ball angled in at the corridor. Gets forward to leave,Unknown,Unknown,Leave
"short of a length outside off, gets forward to defend and chops it into the pitch",Outside Off,Short,Defend
length ball swung in at off stump. Gets closer to the ball this time and opens the face again. This time he gets it to Stokes' left,Off Stump,Unknown,Unknown
inswinger fired down leg side. Looks to whip it but that's swung viciously. Bairstow flies to his left to gather one-handed,Down Leg,Unknown,Unknown
"well timed again. Length ball outside off, allows it to skid on and nudges it wide of mid-on",Outside Off,Unknown,Unknown
thick outside edge rolls through to third slip. Gets forward to defend an outswinger that's quite wide,Unknown,Unknown,Defend
length ball hooping away from wide outside off. Left alone,Outside Off,Unknown,Leave
"well played. Full outswinger on off stump, almost yorker length. Allows it to get in his area and gently taps it between bowler and mid-off",Off Stump,Yorker,Unknown
"short of a length on off stump, defended off the back foot",Off Stump,Short,Defend
"full outswinger on off stump, pushed straight to cover. Not happy with himself. That was driving length for him",Off Stump,Full,Unknown
length and in at leg stump. Tapped through square leg with a closed face,Leg Stump,Unknown,Unknown
<b>outside edge</b> falls short of third slip. Hard-handed jab at a rising length ball outside off,Outside Off,Short,Unknown
"length ball on off stump, defended into the off side",Off Stump,Unknown,Defend
"length ball on off stump, blocked on the front foot off the bat-pad",Off Stump,Unknown,Defend
"length on off stump, pad across into the off side and a late flick of the wrists to get this wide of mid-on",Off Stump,Unknown,Flick
"short ball in the corridor, nicely on top of it to defend into the covers",Unknown,Short,Defend
"length ball outside off, defended solidly on the front foot",Outside Off,Unknown,Defend
<b>looks to flick</b> from off stump. Rattled on the back thigh. This is length and in at off,Off Stump,Unknown,Flick
length ball curved away from the corridor. Left alone,Unknown,Unknown,Leave
length ball on leg stump. Can't get bat on the flick but his deflection off the thigh brings India their hundred,Leg Stump,Unknown,Flick
"<b>leading edge</b> safely out to the wide third man boundary. That's a brilliant delivery from Woakes. Angles it into middle and leg from wide of the crease, gets it to straighten. Rahane has already closed the face on the flick but this bisects fourth slip and backward point comfortably",Middle Stump,Unknown,Flick
<b>shout for lbw</b> but that's going down. Length ball strikes him in front of leg stump but that hasn't straightened. Off the thigh guard down to fine leg,Leg Stump,Unknown,Unknown
"length ball wide outside off, left alone",Outside Off,Unknown,Leave
"short of a length on off stump, defended off the back foot",Off Stump,Short,Defend
"full on off stump, gently nudged to mid-off from the crease",Off Stump,Full,Unknown
"length ball swung away wide outside off, left alone",Outside Off,Unknown,Leave
well left. That climbs steeply outside off as he gets forward to defend. Does well to get the bat out of the way,Outside Off,Unknown,Defend
"length ball on off stump, blocked on the front foot",Off Stump,Unknown,Defend
"<b>shot.</b> If we bats long, we'll see a lot of this from Kohli. Short stride, posibbly because of his back issues, but he has drilled that on the up through extra cover. Length ball swung away from wide outside off",Outside Off,Short,Unknown
"short of a length outswinger from the corridor, left alone",Unknown,Short,Leave
length ball angled in at middle stump. Wacthful push into the leg side,Middle Stump,Unknown,Unknown
"yorker length at middle stump, gets the front leg out of the way and jams it into the leg side",Middle Stump,Yorker,Unknown
well left. This comes in with the angle in the corridor. But he's covered off stump to let it pass,Off Stump,Unknown,Unknown
"length ball wide outside off, left alone",Outside Off,Unknown,Leave
bouncer wide outside off. Thinks of the hook but it's gone too far away for him,Outside Off,Short,Hook
"short of a length outside off, bit of an away-from-the-body poke this time. Opened face, angled bat, can't get it past point",Outside Off,Short,Unknown
<b>outside edge</b> past Jennings who is in close with a helmet at third slip. It still falls short to his right. Rahane plays with soft hands as this rises up from short of a length,Unknown,Short,Unknown
"short of a length at middle stump, thick inside edge through square leg",Middle Stump,Short,Unknown
"full ball wide outside off, jammed into the covers",Outside Off,Full,Unknown
"short of a length and wide outside off, left alone",Outside Off,Short,Leave
"length ball curving away in the corridor, left alone",Unknown,Unknown,Leave
"that's <strong>expertly done</strong>. Good stride, gets close to the ball, bat close to body and a high elbow as Rahane meets this outswinger outside off and caresses it wide of mid-off",Outside Off,Unknown,Unknown
"length on off stump, blocked into the covers with a step down the pitch",Off Stump,Unknown,Defend
"length ball jumps away from outside off, left alone",Outside Off,Unknown,Leave
"length outside off, zips away and he follows with his hands. Opens the face and gets it wide of third slip",Outside Off,Unknown,Unknown
"short of a length outside off, defended off the back foot",Outside Off,Short,Defend
"<b>aerial</b> but safe. Rahane not in control but he picks up four. It's not a cut, it isn't a back foot drive. Something halfway - a stab away from the body while he's still in the air trying to get on top of this. Short ball from Stokes outside off, but that wasn't convincing from the batsman",Outside Off,Short,Drive
"short of a length outside off, dropped into the point region with soft hands",Outside Off,Short,Unknown
"short of a length outside off, pokes through point",Outside Off,Short,Unknown
length ball in at middle and leg. Solidly defended with a straight bat,Middle Stump,Unknown,Defend
short of a length and cramping him at the hips. Forces it behind square with the bottom hand off,Unknown,Short,Unknown
"<b>easy.</b> A full toss on off stump and anyone from this batting order, despite their demons, would have put that away. Kohli picks midwicket and he sends it there",Off Stump,Full,Unknown
"length outside off, left alone",Outside Off,Unknown,Leave
"length on off, defended from the crease",Off Stump,Unknown,Defend
"short of a length at of stump, defneded off the back foot",Unknown,Short,Unknown
"length on off stump, poked to point off the back foot",Off Stump,Unknown,Unknown
"short of a length on leg stump, pushed to square leg off the back foot",Leg Stump,Short,Unknown
"length on off stump, well forward to block",Off Stump,Unknown,Defend
"dropped short on middle stump, gets deep in the crease and whips it to deep square's left",Middle Stump,Short,Unknown
"short on middle stump, punched to mid-on off the back foot",Off Stump,Short,Unknown
"that's woeful. For all the beauty they can produce, no one quite does half-trackers as badly as legspinners. This one is on the pads, dug in shorter than bouncer length. Kohli gets back and whips to fine leg",Unknown,Short,Unknown
"tossed up outside off, left alone",Outside Off,Unknown,Leave
"<b>creamed.</b> Floated right up, wide outside off. Gets to the pitch and beats sweeper cover easily to his right",Outside Off,Unknown,Unknown
<b>beaten.</b> Straightens in the corridor as Rahane gets forward to defend with hard hands,Unknown,Unknown,Defend
length and slanted into the corridor. Gets behind it and defends with soft hands,Unknown,Unknown,Defend
"length on leg stump, pings off the inside half as he looks to defend on the front foot. Trickles teasingly to fine leg's left",Leg Stump,Unknown,Defend
"full outside off, left alone",Outside Off,Full,Leave
"short of a length just outside off, defended into the covers off the back foot",Outside Off,Short,Defend
"non-turner outside off, left alone",Outside Off,Unknown,Leave
"looped up full and outside off, Kohli drives with the wrists and finds deep cover",Outside Off,Full,Drive
"back of a length and breaks away outside off, Rahane jumps back and slaps it away to the left of deep cover",Outside Off,Short,Unknown
"tossed on off, not much turn, Rahane stretches out to smother it",Off Stump,Unknown,Unknown
"on a length on off, defended off the front foot again",Off Stump,Good Length,Defend
"pitched up and outside off, patted to the covers off the front foot",Outside Off,Full,Unknown
"full and straight, forward and flicked to midwicket",Unknown,Full,Flick
"good length and outside off, Kohli stretches out, manipulates the bat-face and drives it in the gap at point for four",Outside Off,Good Length,Drive
"good-length inswinger, teases the off stump, Kohli knows it won't come back enough to kiss off. Left alone",Off Stump,Unknown,Leave
"full and curving in, Kohli gets his front pad outside the line and takes it on the pad. Impact outside the line again",Unknown,Full,Unknown
"floats a legbreak up outside off, Rahane presses forward and eases a single to sweeper cover",Outside Off,Unknown,Unknown
"dangled up on off, driven to the covers off the front foot",Off Stump,Unknown,Drive
"full on middle, dead-batted away",Middle Stump,Full,Unknown
opens the face and drives a full ball to cover,Unknown,Full,Drive
"fuller and outside off, Kohli leans into another drive and strokes it straight to the covers",Outside Off,Unknown,Drive
"dragged short on middle, Kohli goes on the back foot and whips a single to deep midwicket",Middle Stump,Short,Unknown
"good length and slanting in on middle, Rahane shuffles across off and drops the ball to the leg side",Middle Stump,Good Length,Unknown
"back of a length on a fourth-stump line, Rahane gets right behind it and blocks stoutly to cover",Unknown,Short,Defend
"good length on off, Rahane gets right forward and defends to cover",Off Stump,Good Length,Defend
"back of a length on off, Rahane opens the face and steers the ball quietly to backward point",Off Stump,Short,Unknown
full and angling into a front-foot drive to mid-on,Unknown,Full,Drive
"full on off, Kohli stays leg-side of the ball and laces a single to sweeper cover",Off Stump,Full,Unknown
"tossed outside off, Rahane stretches out and flat-bats the ball away to the right of sweeper",Outside Off,Unknown,Unknown
"dragged down on off, keeps a bit low. Rahane goes back, adjusts to the lack of bounce, and punches back to Rashid",Off Stump,Unknown,Unknown
"tosses it up outside off and gets it to spin away, left alone",Outside Off,Unknown,Leave
"full on off, front-foot defensive from Rahane",Off Stump,Full,Unknown
Rahane reads this legbreak and lets it go outside off,Outside Off,Unknown,Unknown
Kohli gets inside the line of this length ball on middle and clips a single to deep square leg,Middle Stump,Unknown,Unknown
"good length just a shade outside off, tapped to the covers off the front foot",Outside Off,Good Length,Unknown
back of a length and angling into a gentle little push back to Anderson,Unknown,Short,Unknown
"back of a length and outside off, jabbed to point off the back foot",Outside Off,Short,Unknown
"good length on a fourth-stump line, blocked off the front foot",Unknown,Good Length,Defend
"shorter on off, Rahane camps back and stabs it to the covers",Off Stump,Unknown,Unknown
"on a length and breaks away outside off, driven fluently to sweeper off the front foot",Outside Off,Good Length,Drive
"much fuller and outside off, eased through the covers again, this time by Rahane",Outside Off,Unknown,Unknown
"dangled up wide outside off, spins away further, left alone",Outside Off,Unknown,Leave
"full on off, pressed to the covers",Off Stump,Full,Unknown
"full and outside off, stretches out and drives with the wrists square on the off side for a couple of runs. Positive running from Kohli and Rahane",Outside Off,Full,Drive
"good length and angling into off stump, Rahane deploys a strong stride and deals with it",Off Stump,Good Length,Unknown
"back of a length on off, defensively dropped to the off side off the back foot",Off Stump,Short,Unknown
"just short of a good length and outside off, Rahane meets it with an open face and handsomely punches past cover's left",Outside Off,Good Length,Unknown
"shortish and outside off, Rahane rides it out to backward point",Outside Off,Unknown,Unknown
"similar ball from Anderson, similar short, steered to backward point",Unknown,Short,Unknown
"good length and outside off, Rahane shoulders arms and rounds out the over",Outside Off,Good Length,Unknown
"back of a length and outside off, the old ball isn't moving, Kohli reaches out and punches through point to bring up his fifty. He raises his bat and a hug from Rahane is part of the celebrations",Outside Off,Short,Unknown
"back of a length and on a fourth-stump line, Rahane gets on top of it and jabs the ball to the covers",Unknown,Short,Unknown
"short on the hips, tucked away to deep square leg",Unknown,Short,Unknown
"pitched up and outside off, driven to deep-ish mid-off",Outside Off,Full,Drive
"full and outside off, opens the face and secures a single to point",Outside Off,Full,Unknown
"spits up from a length on off, hits the splice and rolls to the cordon",Off Stump,Unknown,Unknown
"back of a length and outside off, Kohli loosens his grip and fends it back to Anderson",Outside Off,Short,Unknown
"back of a length and outside off, opens the face and pats the ball to the covers",Outside Off,Short,Unknown
"full and outside off, driven to the covers off the back foot",Outside Off,Full,Drive
"full on the stumps, shuffles across and blocks to the leg side",Down Leg,Full,Defend
"good length on off, shuffles across again, this time he pushes to mid-on",Off Stump,Good Length,Unknown
"back of a length and outside off, left alone",Outside Off,Short,Leave
"short, wide, Rahane gets on top of it and flays it away to <strong>bring up a fifty of his own</strong>. Crunched through the cover-point region",Unknown,Short,Unknown
"short, wide, again, laced to the covers",Unknown,Short,Unknown
"full outswinger, Rahane watches it through to the keeper",Unknown,Full,Unknown
"fullish and outside off, no shot",Outside Off,Unknown,Unknown
"back of a length and bounces through the channel, Rahane shoulders arms again",Unknown,Short,Unknown
"full and wobbles away outside off, Rahane keeps leaving these",Outside Off,Full,Unknown
"short and outside off, Kohli swivels on the back foot and drags to deep midwicket",Outside Off,Short,Unknown
"lifter outside off, Kohli ducks under it",Outside Off,Unknown,Unknown
"another short ball outside off, tempts Kohli into a hook and sails over his head",Outside Off,Short,Hook
"short and outside off, Kohli sways his upper body out of the way and lets it go",Outside Off,Short,Unknown
"short and rises outside off, Kohli rises with it, aims to ramp it over the cordon. Beaten in the end",Outside Off,Short,Unknown
"bouncer outside off, umpire Erasmus calls it a wide and has a word with Stokes",Outside Off,Short,Unknown
Kohli hops and tucks a back of a length ball to midwicket,Unknown,Short,Unknown
"short on off, Rahane hops and fends to cover",Off Stump,Short,Unknown
"full and straight, turned to midwicket",Unknown,Full,Unknown
"full and nibbles away late outside off, Rahane leaves it be",Outside Off,Full,Leave
"full on off, defended to the covers off the front foot",Off Stump,Full,Defend
"full-toss on middle, driven back, the bowler gets a hand onto it and deflects it towards long-on",Middle Stump,Full,Drive
"short and outside off, Rahane swats it away like a fly to backward square leg",Outside Off,Short,Unknown
